date,year,month,strategy,action,buy_type,stock,price,amount
2010-02-02,2010,2,Timed HODL,BUY,fallback,ADANIPOWER,20.36,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,AEGISLOG,9.23,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,AHLUCONT,195.88,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,AJMERA,30.79,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,AMJLAND,17.98,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,APARINDS,127.27,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,BAJAJHLDNG,403.69,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,BIRLAMONEY,54.4,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,CEMPRO,18.51,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,CHENNPETRO,153.18,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,COFORGE,24.27,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,ELECON,32.85,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,FIEMIND,36.82,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,FSL,24.22,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,GANESHHOU,72.1,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,GENUSPOWER,14.66,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,GEOJITFSL,22.31,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,GESHIP,164.63,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,GODFRYPHLP,101.9,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,GOLDBEES,16.49,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,HDFCBANK,68.25,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,HINDCOPPER,531.41,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,HINDZINC,37.47,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,INDOTECH,275.15,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,INDRAMEDCO,28.59,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,JKTYRE,25.15,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,JSWENERGY,83.96,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,KRBL,18.11,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,LUMAXIND,140.65,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,LUMAXTECH,12.35,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,MAHABANK,36.62,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,MAHSEAMLES,138.54,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,MOTILALOFS,151.52,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,MPSLTD,33.63,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,NATIONALUM,44.54,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,NMDC,43.39,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,PGIL,34.27,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,RANEHOLDIN,105.95,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,REDINGTON,19.7,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,RKFORGE,22.69,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,RSYSTEMS,5.16,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,SHILPAMED,37.77,203.7
2010-02-02,2010,2,Timed HODL,BUY,fallback,SKMEGGPROD,9.08,203.7
