date,year,month,strategy,action,buy_type,stock,price,amount
2010-02-02,2010,2,Timed HODL,BUY,fallback,BAJFINANCE,2.66,1571.43
2010-02-02,2010,2,Timed HODL,BUY,fallback,CHOLAFIN,11.27,1571.43
2010-02-02,2010,2,Timed HODL,BUY,fallback,FSL,24.22,1571.43
2010-02-02,2010,2,Timed HODL,BUY,fallback,KARURVYSYA,23.22,1571.43
2010-02-02,2010,2,Timed HODL,BUY,fallback,MAHABANK,36.62,1571.43
2010-02-02,2010,2,Timed HODL,BUY,fallback,RSYSTEMS,5.16,1571.43
2010-02-02,2010,2,Timed HODL,BUY,fallback,SOLARINDS,76.21,1571.43
2010-03-05,2010,3,Timed HODL,BUY,fallback,BAJFINANCE,2.84,785.71
2010-03-05,2010,3,Timed HODL,BUY,fallback,CHOLAFIN,14.78,561.29
2010-03-05,2010,3,Timed HODL,BUY,fallback,FSL,23.56,785.71
2010-03-05,2010,3,Timed HODL,BUY,fallback,KARURVYSYA,24.49,785.71
2010-03-05,2010,3,Timed HODL,BUY,fallback,MAHABANK,37.46,785.71
2010-03-05,2010,3,Timed HODL,BUY,fallback,RSYSTEMS,5.8,785.71
2010-03-05,2010,3,Timed HODL,BUY,fallback,SOLARINDS,81.8,785.71
2010-04-07,2010,4,Timed HODL,BUY,fallback,BAJFINANCE,2.96,715.55
2010-04-07,2010,4,Timed HODL,BUY,fallback,CHOLAFIN,18.16,396.97
2010-04-07,2010,4,Timed HODL,BUY,fallback,FSL,23.6,715.55
2010-04-07,2010,4,Timed HODL,BUY,fallback,KARURVYSYA,28.15,715.55
2010-04-07,2010,4,Timed HODL,BUY,fallback,MAHABANK,38.12,715.55
2010-04-07,2010,4,Timed HODL,BUY,fallback,PERSISTENT,82.57,715.55
2010-04-07,2010,4,Timed HODL,BUY,fallback,RSYSTEMS,6.04,715.55
2010-04-07,2010,4,Timed HODL,BUY,fallback,SOLARINDS,79.16,715.55
2010-05-07,2010,5,Timed HODL,BUY,fallback,BAJFINANCE,3.75,469.7
2010-05-07,2010,5,Timed HODL,BUY,fallback,CHOLAFIN,20.67,507.85
2010-05-07,2010,5,Timed HODL,BUY,fallback,FSL,22.44,727.32
2010-05-07,2010,5,Timed HODL,BUY,fallback,KARURVYSYA,29.42,727.32
2010-05-07,2010,5,Timed HODL,BUY,fallback,MAHABANK,37.67,727.32
2010-05-07,2010,5,Timed HODL,BUY,fallback,PERSISTENT,77.45,727.32
2010-05-07,2010,5,Timed HODL,BUY,fallback,RSYSTEMS,5.99,727.32
2010-05-07,2010,5,Timed HODL,BUY,fallback,SOLARINDS,77.89,727.32
2010-06-07,2010,6,Timed HODL,BUY,fallback,BAJFINANCE,4.06,519.59
2010-06-07,2010,6,Timed HODL,BUY,fallback,CHOLAFIN,22.61,467.79
2010-06-07,2010,6,Timed HODL,BUY,fallback,FSL,19.77,747.14
2010-06-07,2010,6,Timed HODL,BUY,fallback,KARURVYSYA,29.32,747.14
2010-06-07,2010,6,Timed HODL,BUY,fallback,MAHABANK,42.42,747.14
2010-06-07,2010,6,Timed HODL,BUY,fallback,PERSISTENT,78.55,747.14
2010-06-07,2010,6,Timed HODL,BUY,fallback,RSYSTEMS,5.78,747.14
2010-06-07,2010,6,Timed HODL,BUY,fallback,SOLARINDS,73.38,747.14
2010-07-06,2010,7,Timed HODL,BUY,fallback,BAJFINANCE,4.45,750.86
2010-07-06,2010,7,Timed HODL,BUY,fallback,CHOLAFIN,25.31,657.23
2010-07-06,2010,7,Timed HODL,BUY,fallback,FSL,22.13,750.86
2010-07-06,2010,7,Timed HODL,BUY,fallback,KARURVYSYA,34.4,750.86
2010-07-06,2010,7,Timed HODL,BUY,fallback,MAHABANK,42.01,750.86
2010-07-06,2010,7,Timed HODL,BUY,fallback,PERSISTENT,97.02,750.86
2010-07-06,2010,7,Timed HODL,BUY,fallback,RSYSTEMS,5.93,750.86
2010-07-06,2010,7,Timed HODL,BUY,fallback,SOLARINDS,76.0,750.86
2010-08-04,2010,8,Timed HODL,BUY,fallback,BAJFINANCE,5.18,133.19
2010-08-04,2010,8,Timed HODL,BUY,fallback,CHOLAFIN,26.8,699.2
2010-08-04,2010,8,Timed HODL,BUY,fallback,FSL,21.01,699.2
2010-08-04,2010,8,Timed HODL,BUY,fallback,KARURVYSYA,36.59,699.2
2010-08-04,2010,8,Timed HODL,BUY,fallback,MAHABANK,48.4,699.2
2010-08-04,2010,8,Timed HODL,BUY,fallback,PERSISTENT,98.23,699.2
2010-08-04,2010,8,Timed HODL,BUY,fallback,RSYSTEMS,5.63,699.2
2010-08-04,2010,8,Timed HODL,BUY,fallback,SOLARINDS,79.65,699.2
2010-09-02,2010,9,Timed HODL,BUY,fallback,BAJFINANCE,5.75,655.27
2010-09-02,2010,9,Timed HODL,BUY,fallback,CHOLAFIN,30.0,694.65
2010-09-02,2010,9,Timed HODL,BUY,fallback,FSL,20.08,758.25
2010-09-02,2010,9,Timed HODL,BUY,fallback,MAHABANK,51.65,758.25
2010-09-02,2010,9,Timed HODL,BUY,fallback,PERSISTENT,92.52,758.25
2010-09-02,2010,9,Timed HODL,BUY,fallback,RSYSTEMS,5.8,758.25
2010-09-02,2010,9,Timed HODL,BUY,fallback,SOLARINDS,82.32,758.25
2010-10-04,2010,10,Timed HODL,BUY,fallback,CHOLAFIN,31.9,802.37
2010-10-04,2010,10,Timed HODL,BUY,fallback,FSL,22.32,803.1
2010-10-04,2010,10,Timed HODL,BUY,fallback,KARURVYSYA,45.86,803.1
