year,month,trades,stocks,total_deployed
2010,2,7,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, RSYSTEMS, SOLARINDS",11000
2010,3,7,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, RSYSTEMS, SOLARINDS",5276
2010,4,8,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, PERSISTENT, RSYSTEMS, SOLARINDS",5406
2010,5,8,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, PERSISTENT, RSYSTEMS, SOLARINDS",5341
2010,6,8,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, PERSISTENT, RSYSTEMS, SOLARINDS",5470
2010,7,8,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, PERSISTENT, RSYSTEMS, SOLARINDS",5913
2010,8,8,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, PERSISTENT, RSYSTEMS, SOLARINDS",5028
2010,9,7,"BAJFINANCE, CHOLAFIN, FSL, MAHABANK, PERSISTENT, RSYSTEMS, SOLARINDS",5141
2010,10,7,"CHOLAFIN, FSL, KARURVYSYA, MAHABANK, PERSISTENT, RSYSTEMS, SOLARINDS",5621
2010,11,1,FSL,4815
2010,12,2,FSL,6989
2011,2,3,"BAJFINANCE, MAHABANK, PERSISTENT",9075
2011,3,5,"BAJFINANCE, FSL, MAHABANK, PERSISTENT",9075
2011,5,5,"BAJFINANCE, CHOLAFIN, MAHABANK, PERSISTENT, RSYSTEMS",9341
2011,6,1,FSL,8809
2011,7,1,PERSISTENT,6050
2011,8,1,RSYSTEMS,6050
2011,9,1,PERSISTENT,6050
2011,10,1,KARURVYSYA,6050
2011,12,5,"BAJFINANCE, CHOLAFIN, FSL, MAHABANK",12100
2012,1,2,"CHOLAFIN, FSL",6655
2012,3,2,"KARURVYSYA, PERSISTENT",8873
2012,4,3,"FSL, KARURVYSYA, PERSISTENT",9244
2012,5,1,FSL,6749
2012,6,1,FSL,2134
2012,7,7,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, RSYSTEMS, SOLARINDS",10057
2012,8,1,MAHABANK,9528
2012,10,9,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",12643
2012,11,8,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, MCX, RSYSTEMS, SOLARINDS",6508
2012,12,9,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",7469
2013,1,9,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",7321
2013,2,9,"BAJFINANCE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",7321
2013,3,3,"FSL, MCX, SOLARINDS",7321
2013,4,1,MCX,7320
2013,5,4,"FSL, KARURVYSYA, MCX, SOLARINDS",7320
2013,6,1,MCX,7320
2013,7,6,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, SOLARINDS",7320
2013,8,1,CHOLAFIN,7320
2013,9,1,SOLARINDS,7320
2013,10,4,"CHOLAFIN, KARURVYSYA, MAHABANK, MCX",7320
2013,12,1,KARURVYSYA,14641
2014,1,1,SOLARINDS,8053
2014,3,5,"CHOLAFIN, KARURVYSYA, MAHABANK, MCX, SOLARINDS",16105
2014,5,7,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, RSYSTEMS, SOLARINDS",11217
2014,6,8,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",11503
2014,7,8,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",8436
2014,8,8,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",8095
2014,9,8,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",8057
2014,10,7,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, RSYSTEMS, SOLARINDS",7046
2014,11,8,"BAJFINANCE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",8947
2014,12,1,FSL,9171
2015,1,2,"FSL, MAHABANK",8858
2015,3,2,"FSL, MAHABANK",17716
2015,4,1,MAHABANK,8858
2015,5,1,MAHABANK,8858
2015,6,1,MAHABANK,8858
2015,7,1,PERSISTENT,8858
2015,8,1,MAHABANK,8858
2015,9,1,MAHABANK,8858
2015,10,1,MAHABANK,8858
2015,11,1,MAHABANK,8858
2015,12,1,MCX,8858
2016,1,1,PERSISTENT,9744
2016,2,1,MCX,9744
2016,3,1,RSYSTEMS,9744
2016,5,4,"MAHABANK, MCX, RSYSTEMS, SOLARINDS",19487
2016,6,2,"RSYSTEMS, SOLARINDS",9744
2016,7,1,SOLARINDS,9744
2016,8,1,SOLARINDS,9744
2016,10,2,"PERSISTENT, RSYSTEMS",19487
2016,11,3,"KARURVYSYA, MAHABANK, PERSISTENT",9744
2016,12,1,MAHABANK,9744
2017,1,1,MAHABANK,10718
2017,3,2,"CHOLAFIN, PERSISTENT",21436
2017,4,1,PERSISTENT,10718
2017,5,6,"CHOLAFIN, FSL, MAHABANK, MCX, PERSISTENT, RSYSTEMS",10718
2017,6,1,MCX,10718
2017,7,3,"MAHABANK, MCX, RSYSTEMS",10718
2017,8,1,MAHABANK,10718
2017,9,1,RSYSTEMS,10718
2017,10,2,"MAHABANK, RSYSTEMS",10718
2017,11,4,"BSE, KARURVYSYA, MAHABANK, MCX",10718
2017,12,1,MCX,10718
2018,1,1,MAHABANK,11790
2018,2,1,MCX,11790
2018,3,1,BSE,11790
2018,4,1,MAHABANK,11790
2018,5,1,BSE,11790
2018,6,1,RSYSTEMS,11790
2018,7,1,RSYSTEMS,11790
2018,8,4,"BLS, BSE, KARURVYSYA, MAHABANK",11790
2018,10,8,"BLS, BSE, CHOLAFIN, KARURVYSYA, MAHABANK, MCX, PERSISTENT, SOLARINDS",23580
2018,11,1,SOLARINDS,11790
2018,12,1,KARURVYSYA,11790
2019,1,1,PERSISTENT,12969
2019,2,1,BLS,12969
2019,3,1,FSL,12969
2019,5,5,"BLS, BSE, FSL, KARURVYSYA, PERSISTENT",25937
2019,7,5,"BLS, FSL, KARURVYSYA, PERSISTENT, RSYSTEMS",25937
2019,8,1,PERSISTENT,12969
2019,9,1,MAHABANK,12969
2019,10,1,BLS,12969
2019,11,1,KARURVYSYA,12969
2019,12,1,BLS,12969
2020,1,5,"BLS, BSE, FSL, KARURVYSYA, MAHABANK",14266
2020,2,1,BLS,14266
2020,3,8,"BLS, BSE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, PERSISTENT, SOLARINDS",12680
2020,4,1,MAHABANK,15851
2020,5,1,SOLARINDS,14266
2020,6,1,MAHABANK,14266
2020,7,3,"CHOLAFIN, KARURVYSYA, SOLARINDS",10699
2020,8,1,CHOLAFIN,17832
2020,9,1,KARURVYSYA,7133
2020,10,2,"KARURVYSYA, MAHABANK",21398
2020,12,20,"BLS, BSE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",28295
2021,2,10,"BLS, BSE, CHOLAFIN, FSL, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SOLARINDS",28746
2021,3,1,MCX,18567
2021,5,2,"BLS, MCX",31384
2021,6,1,MCX,15692
2021,7,11,"BLS, BSE, CHOLAFIN, HOMEFIRST, KARURVYSYA, MAHABANK, MCX, PERSISTENT, RSYSTEMS, SBCL, SOLARINDS",13278
2021,8,3,"KARURVYSYA, MAHABANK, MCX",18106
2021,9,2,"KARURVYSYA, MAHABANK",15692
2021,11,2,"KARURVYSYA, MAHABANK",31384
2021,12,3,"CHOLAFIN, KARURVYSYA, MAHABANK",15692
2022,2,3,"FSL, MAHABANK, MCX",34523
2022,3,1,FSL,17261
2022,4,1,MAHABANK,17261
2022,5,1,MCX,17261
2022,6,1,FSL,17261
2022,7,5,"FSL, MAHABANK, MCX, PERSISTENT, RSYSTEMS",17261
2022,8,1,FSL,17261
2022,9,6,"BSE, FSL, MAHABANK, MCX, PERSISTENT, RSYSTEMS",17261
2022,10,1,PERSISTENT,17261
2022,11,3,"BSE, FSL, HOMEFIRST",17261
2022,12,3,"BSE, FSL, HOMEFIRST",12946
2023,1,3,"BSE, FSL, HOMEFIRST",17477
2023,2,2,"BSE, HOMEFIRST",16542
2023,3,1,BSE,27259
2023,4,1,BSE,18987
2023,5,3,"BSE, HOMEFIRST, SOLARINDS",18987
2023,6,1,SOLARINDS,18987
2023,7,1,SOLARINDS,18987
2023,8,12,"BLS, BSE, CHOICEIN, CHOLAFIN, FSL, HOMEFIRST, KARURVYSYA, MAHABANK, MCX, PERSISTENT, SBCL, SOLARINDS",16275
2023,9,12,"BLS, BSE, CHOICEIN, CHOLAFIN, FSL, HOMEFIRST, KARURVYSYA, MAHABANK, MCX, PERSISTENT, SBCL, SOLARINDS",18600
2023,11,1,SBCL,41075
2024,1,13,"BLS, BSE, CHOICEIN, CHOLAFIN, FSL, HOMEFIRST, INDIASHLTR, KARURVYSYA, MAHABANK, MCX, RSYSTEMS, SBCL, SOLARINDS",34557
2024,2,1,BAJFINANCE,26203
2024,3,1,BAJFINANCE,20886
2024,4,1,SBCL,20886
2024,5,1,BAJFINANCE,20886
2024,6,1,BAJFINANCE,20886
2024,7,1,BAJFINANCE,20886
2024,8,14,"AADHARHFC, BAJFINANCE, BLS, BSE, CHOICEIN, CHOLAFIN, FSL, HOMEFIRST, INDIASHLTR, KARURVYSYA, MAHABANK, MCX, RSYSTEMS, SBCL",18275
2024,9,1,RSYSTEMS,23497
2024,10,4,"BAJFINANCE, CHOLAFIN, MAHABANK, RSYSTEMS",20886
2024,11,1,MAHABANK,20886
2024,12,6,"BAJFINANCE, CHOLAFIN, MAHABANK, RSYSTEMS, SBCL, SOLARINDS",20886
2025,1,1,MAHABANK,22975
2025,2,1,MAHABANK,22975
2025,3,1,SOLARINDS,22975
2025,4,2,"MAHABANK, RSYSTEMS",22975
2025,5,1,SBCL,22975
2025,6,1,SBCL,22975
2025,7,5,"BLS, FSL, PERSISTENT, PREMIERENE, SBCL",22975
2025,9,5,"BLS, CHOLAFIN, PERSISTENT, PREMIERENE, SBCL",45706
2025,10,5,"BLS, BSE, FSL, PERSISTENT, PREMIERENE",23219
2025,11,1,BLS,22975
2025,12,1,BLS,22975
2026,1,1,HOMEFIRST,25272
2026,2,2,"INDIASHLTR, PREMIERENE",25272
2026,3,1,AADHARHFC,25272
2026,4,2,"CHOICEIN, RSYSTEMS",25272
2026,5,1,CHOICEIN,25272
