date,year,month,strategy,action,buy_type,stock,price,amount
2010-11-01,2010,11,Timed Entry+Exit,BUY,,GODFRYPHLP,94.83,60500.0
2010-11-01,2010,11,Timed HODL,BUY,signal,GODFRYPHLP,94.83,60500.0
2010-11-26,2010,11,Timed Entry+Exit,SELL,,GODFRYPHLP,101.84,64911.76
2010-12-02,2010,12,Timed Entry+Exit,BUY,,GODFRYPHLP,109.18,70411.76
2010-12-02,2010,12,Timed HODL,BUY,signal,GODFRYPHLP,109.18,5500.0
2010-12-10,2010,12,Timed Entry+Exit,SELL,,GODFRYPHLP,104.64,67419.19
2010-12-14,2010,12,Timed Entry+Exit,BUY,,CEMPRO,22.45,33709.6
2010-12-14,2010,12,Timed Entry+Exit,BUY,,ESABINDIA,404.08,33709.6
2011-01-03,2011,1,Timed Entry+Exit,BUY,,ANANTRAJ,40.52,2016.67
2011-01-03,2011,1,Timed Entry+Exit,BUY,,BANCOINDIA,19.56,2016.67
2011-01-03,2011,1,Timed Entry+Exit,BUY,,WELCORP,140.71,2016.67
2011-01-03,2011,1,Timed HODL,BUY,signal,ANANTRAJ,40.52,2016.67
2011-01-03,2011,1,Timed HODL,BUY,signal,BANCOINDIA,19.56,2016.67
2011-01-03,2011,1,Timed HODL,BUY,signal,WELCORP,140.71,2016.67
2011-01-07,2011,1,Timed Entry+Exit,SELL,,ANANTRAJ,37.11,1844.77
2011-01-07,2011,1,Timed Entry+Exit,SELL,,CEMPRO,21.59,32376.9
2011-01-10,2011,1,Timed Entry+Exit,SELL,,BANCOINDIA,17.7,1822.29
2011-01-18,2011,1,Timed Entry+Exit,SELL,,WELCORP,120.29,1722.27
2011-01-20,2011,1,Timed Entry+Exit,BUY,,PGIL,25.56,18883.12
2011-01-20,2011,1,Timed Entry+Exit,BUY,,SUNTECK,251.94,18883.12
2011-01-25,2011,1,Timed Entry+Exit,BUY,,ANANTRAJ,38.33,17582.65
2011-01-25,2011,1,Timed Entry+Exit,SELL,,SUNTECK,234.83,17582.65
2011-02-02,2011,2,Timed Entry+Exit,SELL,,PGIL,23.53,17363.32
2011-02-04,2011,2,Timed Entry+Exit,BUY,,PGIL,24.32,23413.32
2011-02-04,2011,2,Timed HODL,BUY,signal,PGIL,24.32,6050.0
2011-02-09,2011,2,Timed Entry+Exit,SELL,,PGIL,21.17,20363.23
2011-02-15,2011,2,Timed Entry+Exit,BUY,,ADANIPORTS,130.82,12050.21
2011-02-15,2011,2,Timed Entry+Exit,SELL,,ANANTRAJ,34.45,15787.41
2011-02-15,2011,2,Timed Entry+Exit,BUY,,HINDCOPPER,265.27,12050.21
2011-02-15,2011,2,Timed Entry+Exit,BUY,,JKCEMENT,117.64,12050.21
2011-03-01,2011,3,Timed Entry+Exit,BUY,,WEBELSOLAR,7.76,6050.0
2011-03-01,2011,3,Timed HODL,BUY,signal,WEBELSOLAR,7.76,6050.0
2011-03-07,2011,3,Timed Entry+Exit,SELL,,ADANIPORTS,121.45,11175.57
2011-03-08,2011,3,Timed Entry+Exit,BUY,,APARINDS,148.46,5587.78
2011-03-08,2011,3,Timed Entry+Exit,BUY,,TAJGVK,93.66,5587.78
2011-03-16,2011,3,Timed Entry+Exit,SELL,,APARINDS,143.08,5380.13
2011-03-16,2011,3,Timed Entry+Exit,SELL,,TAJGVK,88.2,5256.59
2011-03-17,2011,3,Timed Entry+Exit,BUY,,APARINDS,149.23,10636.73
2011-04-01,2011,4,Timed Entry+Exit,BUY,,NESCO,91.9,3025.0
2011-04-01,2011,4,Timed Entry+Exit,BUY,,SUZLON,44.67,3025.0
2011-04-01,2011,4,Timed HODL,BUY,signal,NESCO,91.9,3025.0
2011-04-01,2011,4,Timed HODL,BUY,signal,SUZLON,44.67,3025.0
2011-04-20,2011,4,Timed Entry+Exit,SELL,,JKCEMENT,111.98,11458.44
2011-05-02,2011,5,Timed Entry+Exit,SELL,,WEBELSOLAR,7.03,5471.49
2011-05-04,2011,5,Timed Entry+Exit,SELL,,APARINDS,164.81,11735.51
2011-05-04,2011,5,Timed Entry+Exit,BUY,,KARURVYSYA,43.99,37846.12
2011-05-04,2011,5,Timed Entry+Exit,SELL,,SUZLON,46.28,3130.68
2011-05-04,2011,5,Timed HODL,BUY,signal,KARURVYSYA,43.99,6050.0
2011-05-05,2011,5,Timed Entry+Exit,SELL,,ESABINDIA,369.38,30783.52
2011-05-16,2011,5,Timed Entry+Exit,BUY,,VIMTALABS,9.84,30783.52
2011-06-01,2011,6,Timed Entry+Exit,BUY,,JKCEMENT,99.83,6050.0
2011-06-01,2011,6,Timed HODL,BUY,signal,JKCEMENT,99.83,6050.0
2011-06-13,2011,6,Timed Entry+Exit,SELL,,JKCEMENT,91.55,5542.46
2011-06-16,2011,6,Timed Entry+Exit,SELL,,KARURVYSYA,42.72,36720.02
2011-06-17,2011,6,Timed Entry+Exit,BUY,,CEMPRO,14.59,42262.48
2011-06-20,2011,6,Timed Entry+Exit,SELL,,HINDCOPPER,238.6,10828.1
2011-06-21,2011,6,Timed Entry+Exit,BUY,,JKCEMENT,94.29,49183.42
2011-06-21,2011,6,Timed Entry+Exit,SELL,,VIMTALABS,12.28,38355.32
2011-06-22,2011,6,Timed Entry+Exit,SELL,,CEMPRO,14.37,41565.45
2011-06-23,2011,6,Timed Entry+Exit,BUY,,CEMPRO,14.65,44907.84
2011-06-23,2011,6,Timed Entry+Exit,SELL,,NESCO,101.64,3342.4
2011-07-01,2011,7,Timed Entry+Exit,BUY,,GVT&D,244.71,6050.0
2011-07-01,2011,7,Timed HODL,BUY,signal,GVT&D,244.71,6050.0
2011-07-12,2011,7,Timed Entry+Exit,SELL,,GVT&D,229.96,5679.63
2011-07-21,2011,7,Timed Entry+Exit,BUY,,HBLENGINE,16.0,5679.63
2011-08-02,2011,8,Timed Entry+Exit,BUY,,RSYSTEMS,6.81,6050.0
2011-08-02,2011,8,Timed HODL,BUY,signal,RSYSTEMS,6.81,6050.0
2011-08-04,2011,8,Timed Entry+Exit,SELL,,HBLENGINE,14.86,5267.56
2011-08-09,2011,8,Timed Entry+Exit,SELL,,CEMPRO,13.89,42551.92
2011-08-17,2011,8,Timed Entry+Exit,SELL,,JKCEMENT,89.32,46544.42
2011-08-22,2011,8,Timed Entry+Exit,SELL,,RSYSTEMS,6.03,5346.27
2011-08-29,2011,8,Timed Entry+Exit,BUY,,CGPOWER,44.13,99710.17
2011-09-02,2011,9,Timed Entry+Exit,BUY,,HBLENGINE,13.81,2016.67
2011-09-02,2011,9,Timed Entry+Exit,BUY,,PERSISTENT,65.85,2016.67
2011-09-02,2011,9,Timed Entry+Exit,BUY,,USHAMART,34.43,2016.67
2011-09-02,2011,9,Timed HODL,BUY,signal,HBLENGINE,13.81,2016.67
2011-09-02,2011,9,Timed HODL,BUY,signal,PERSISTENT,65.85,2016.67
2011-09-02,2011,9,Timed HODL,BUY,signal,USHAMART,34.43,2016.67
2011-10-03,2011,10,Timed Entry+Exit,SELL,,USHAMART,30.76,1799.49
2011-10-10,2011,10,Timed Entry+Exit,BUY,,NMDC,22.08,7849.49
2011-10-10,2011,10,Timed HODL,BUY,signal,NMDC,22.08,6050.0
2011-10-31,2011,10,Timed Entry+Exit,SELL,,CGPOWER,43.79,98829.7
2011-11-04,2011,11,Timed Entry+Exit,BUY,,ASTRAZEN,1236.85,104879.7
2011-11-04,2011,11,Timed HODL,BUY,signal,ASTRAZEN,1236.85,6050.0
2011-11-16,2011,11,Timed Entry+Exit,SELL,,HBLENGINE,15.09,2202.51
2011-11-28,2011,11,Timed Entry+Exit,BUY,,NEULANDLAB,68.93,2202.51
2011-12-01,2011,12,Timed Entry+Exit,BUY,,GESHIP,140.18,3025.0
2011-12-01,2011,12,Timed Entry+Exit,BUY,,OBEROIRLTY,206.41,3025.0
