year,month,trades,stocks,total_deployed
2010,2,75,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",11000
2010,3,75,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",5500
2010,4,76,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",5500
2010,5,76,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",5500
2010,6,76,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",5500
2010,7,76,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",5500
2010,8,76,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",5500
2010,9,76,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, ASTRAZEN, BAJFINANCE, BANCOINDIA, BOSCHLTD, CEMPRO, CGPOWER, CHOLAFIN, COFORGE, CUMMINSIND, DSSL, ECLERX, EICHERMOT, ELGIEQUIP, ESABINDIA, EXPLEOSOL, FIEMIND, FSL, GESHIP, GODFRYPHLP, GVT&D, HBLENGINE, HINDCOPPER, HINDZINC, INDOTECH, INDRAMEDCO, JKCEMENT, JKTYRE, JSWDULUX, KARURVYSYA, KERNEX, KINGFA, LTFOODS, LUMAXIND, LUMAXTECH, LUPIN, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, PIDILITIND, PRECWIRE, PRICOLLTD, REDINGTON, RSYSTEMS, SAKSOFT, SIYSIL, SMLMAH, SOBHA, SOLARINDS, SUNTECK, SUZLON, SWARAJENG, TAJGVK, TIMETECHNO, TIPSMUSIC, TORNTPHARM, TRENT, TVSMOTOR, USHAMART, VESUVIUS, VIMTALABS, WEBELSOLAR, WELCORP, ZYDUSLIFE",5500
2010,10,24,"ADSL, AHLUCONT, BANCOINDIA, ESABINDIA, EXPLEOSOL, FSL, GODFRYPHLP, HBLENGINE, HINDCOPPER, INDOTECH, INDRAMEDCO, JKTYRE, KINGFA, MPSLTD, NATIONALUM, NMDC, PGIL, PRICOLLTD, SAKSOFT, SUZLON, TAJGVK, TIPSMUSIC, WEBELSOLAR, WELCORP",5500
2010,11,1,GODFRYPHLP,5500
