date,year,month,strategy,action,buy_type,stock,price,amount
2010-11-09,2010,11,Timed Entry+Exit,BUY,,SKMEGGPROD,7.8,30250.0
2010-11-09,2010,11,Timed Entry+Exit,BUY,,V2RETAIL,4.28,30250.0
2010-11-09,2010,11,Timed HODL,BUY,signal,SKMEGGPROD,7.8,30250.0
2010-11-09,2010,11,Timed HODL,BUY,signal,V2RETAIL,4.28,30250.0
2010-11-19,2010,11,Timed Entry+Exit,SELL,,V2RETAIL,3.81,26897.36
2010-12-06,2010,12,Timed Entry+Exit,BUY,,TAJGVK,127.55,32397.36
2010-12-06,2010,12,Timed HODL,BUY,signal,TAJGVK,127.55,5500.0
2010-12-13,2010,12,Timed Entry+Exit,SELL,,TAJGVK,120.09,30473.6
2010-12-15,2010,12,Timed Entry+Exit,BUY,,V2RETAIL,3.58,30473.6
2011-01-03,2011,1,Timed Entry+Exit,BUY,,SKMEGGPROD,7.14,6050.0
2011-01-03,2011,1,Timed HODL,BUY,signal,SKMEGGPROD,7.14,6050.0
2011-01-12,2011,1,Timed Entry+Exit,SELL,,SKMEGGPROD,6.36,30021.96
2011-01-18,2011,1,Timed Entry+Exit,SELL,,V2RETAIL,3.06,25978.71
2011-01-24,2011,1,Timed Entry+Exit,BUY,,SUNFLAG,26.44,56000.67
2011-01-28,2011,1,Timed Entry+Exit,BUY,,INDOTECH,185.55,52315.85
2011-01-28,2011,1,Timed Entry+Exit,SELL,,SUNFLAG,24.73,52315.85
2011-01-31,2011,1,Timed Entry+Exit,SELL,,INDOTECH,177.45,49982.04
2011-02-07,2011,2,Timed Entry+Exit,BUY,,HILTON,16.64,56032.04
2011-02-07,2011,2,Timed HODL,BUY,signal,HILTON,16.64,6050.0
2011-03-03,2011,3,Timed Entry+Exit,BUY,,GENUSPOWER,14.97,2016.67
2011-03-03,2011,3,Timed Entry+Exit,BUY,,INDIANCARD,68.71,2016.67
2011-03-03,2011,3,Timed Entry+Exit,BUY,,SUZLON,44.44,2016.67
2011-03-03,2011,3,Timed HODL,BUY,signal,GENUSPOWER,14.97,2016.67
2011-03-03,2011,3,Timed HODL,BUY,signal,INDIANCARD,68.71,2016.67
2011-03-03,2011,3,Timed HODL,BUY,signal,SUZLON,44.44,2016.67
2011-03-15,2011,3,Timed Entry+Exit,SELL,,GENUSPOWER,14.08,1894.73
2011-03-16,2011,3,Timed Entry+Exit,BUY,,AMJLAND,15.99,1894.73
2011-03-17,2011,3,Timed Entry+Exit,BUY,,ELECON,27.54,953.21
2011-03-17,2011,3,Timed Entry+Exit,BUY,,GEOJITFSL,14.19,953.21
2011-03-17,2011,3,Timed Entry+Exit,SELL,,SUZLON,42.05,1906.43
2011-03-23,2011,3,Timed Entry+Exit,SELL,,ELECON,26.9,930.01
2011-03-25,2011,3,Timed Entry+Exit,BUY,,ADANIPOWER,22.59,310.0
2011-03-25,2011,3,Timed Entry+Exit,BUY,,ELECON,27.6,310.0
2011-03-25,2011,3,Timed Entry+Exit,BUY,,MOTILALOFS,118.66,310.0
2011-04-01,2011,4,Timed Entry+Exit,BUY,,SUZLON,44.67,6050.0
2011-04-01,2011,4,Timed HODL,BUY,signal,SUZLON,44.67,6050.0
2011-04-29,2011,4,Timed Entry+Exit,SELL,,ADANIPOWER,22.53,308.87
2011-05-03,2011,5,Timed Entry+Exit,SELL,,ELECON,29.18,327.39
2011-05-04,2011,5,Timed Entry+Exit,SELL,,GEOJITFSL,14.56,977.65
2011-05-04,2011,5,Timed Entry+Exit,BUY,,KARURVYSYA,43.99,13925.28
2011-05-04,2011,5,Timed Entry+Exit,SELL,,SUZLON,46.28,6261.36
2011-05-04,2011,5,Timed HODL,BUY,signal,KARURVYSYA,43.99,6050.0
2011-05-05,2011,5,Timed Entry+Exit,SELL,,AMJLAND,18.66,2208.31
2011-05-05,2011,5,Timed Entry+Exit,SELL,,INDIANCARD,68.13,1997.62
2011-05-06,2011,5,Timed Entry+Exit,SELL,,MOTILALOFS,113.69,296.73
2011-05-12,2011,5,Timed Entry+Exit,BUY,,ADANIPOWER,22.78,4502.66
2011-06-01,2011,6,Timed Entry+Exit,BUY,,SKMEGGPROD,4.44,6050.0
2011-06-01,2011,6,Timed HODL,BUY,signal,SKMEGGPROD,4.44,6050.0
2011-06-13,2011,6,Timed Entry+Exit,SELL,,ADANIPOWER,22.24,4391.53
2011-06-16,2011,6,Timed Entry+Exit,SELL,,KARURVYSYA,42.72,13510.94
2011-06-16,2011,6,Timed Entry+Exit,SELL,,SKMEGGPROD,4.19,5701.25
2011-06-28,2011,6,Timed Entry+Exit,BUY,,HBLENGINE,16.4,23603.73
2011-07-04,2011,7,Timed Entry+Exit,BUY,,MOTILALOFS,90.04,6050.0
2011-07-04,2011,7,Timed HODL,BUY,signal,MOTILALOFS,90.04,6050.0
2011-07-12,2011,7,Timed Entry+Exit,SELL,,HBLENGINE,15.39,22122.22
2011-07-21,2011,7,Timed Entry+Exit,BUY,,HBLENGINE,16.0,22122.22
2011-08-02,2011,8,Timed Entry+Exit,BUY,,RSYSTEMS,6.81,6050.0
2011-08-02,2011,8,Timed HODL,BUY,signal,RSYSTEMS,6.81,6050.0
2011-08-04,2011,8,Timed Entry+Exit,SELL,,HBLENGINE,14.86,20517.18
2011-08-04,2011,8,Timed Entry+Exit,BUY,,SUNFLAG,27.35,20517.18
2011-08-05,2011,8,Timed Entry+Exit,SELL,,SUNFLAG,26.63,19961.05
2011-08-08,2011,8,Timed Entry+Exit,SELL,,MOTILALOFS,81.56,5474.63
2011-08-22,2011,8,Timed Entry+Exit,SELL,,RSYSTEMS,6.03,5346.27
2011-09-02,2011,9,Timed Entry+Exit,BUY,,HBLENGINE,13.81,36831.95
