year,month,trades,stocks,total_deployed
2010,2,54,"ACE, ADANIPOWER, AHLUCONT, AJMERA, AMJLAND, ANANTRAJ, BAJAJHLDNG, BIRLAMONEY, CEMPRO, COFORGE, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GESHIP, GODFRYPHLP, GOLDBEES, HDFCBANK, HINDCOPPER, HINDZINC, INDIANCARD, INDOTECH, INDRAMEDCO, JINDRILL, JKTYRE, JSWENERGY, KARURVYSYA, KRBL, LUMAXIND, MAHABANK, MAHSEAMLES, MOTILALOFS, NATIONALUM, NMDC, PGIL, RANEHOLDIN, REDINGTON, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SOLARINDS, SUNFLAG, SUZLON, TAJGVK, TARIL, TIMETECHNO, TVSMOTOR, USHAMART, V2RETAIL",11000
2010,3,55,"ACE, ADANIPOWER, AHLUCONT, AJMERA, AMJLAND, ANANTRAJ, BAJAJHLDNG, BIRLAMONEY, CEMPRO, COFORGE, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GESHIP, GODFRYPHLP, GOLDBEES, HDFCBANK, HINDCOPPER, HINDZINC, INDIANCARD, INDOTECH, INDRAMEDCO, JINDRILL, JKTYRE, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, LUMAXIND, MAHABANK, MAHSEAMLES, MOTILALOFS, NATIONALUM, NMDC, PGIL, RANEHOLDIN, REDINGTON, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SOLARINDS, SUNFLAG, SUZLON, TAJGVK, TARIL, TIMETECHNO, TVSMOTOR, USHAMART, V2RETAIL",5500
2010,5,56,"ACE, ADANIPOWER, AHLUCONT, AJMERA, AMJLAND, ANANTRAJ, BAJAJHLDNG, BIRLAMONEY, CEMPRO, COFORGE, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GESHIP, GODFRYPHLP, GOLDBEES, HDFCBANK, HINDCOPPER, HINDZINC, INDIANCARD, INDOTECH, INDRAMEDCO, JINDRILL, JKTYRE, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, LUMAXIND, MAHABANK, MAHSEAMLES, MOTILALOFS, NATIONALUM, NMDC, PERSISTENT, PGIL, RANEHOLDIN, REDINGTON, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SOLARINDS, SUNFLAG, SUZLON, TAJGVK, TARIL, TIMETECHNO, TVSMOTOR, USHAMART, V2RETAIL",11000
2010,6,56,"ACE, ADANIPOWER, AHLUCONT, AJMERA, AMJLAND, ANANTRAJ, BAJAJHLDNG, BIRLAMONEY, CEMPRO, COFORGE, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GESHIP, GODFRYPHLP, GOLDBEES, HDFCBANK, HINDCOPPER, HINDZINC, INDIANCARD, INDOTECH, INDRAMEDCO, JINDRILL, JKTYRE, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, LUMAXIND, MAHABANK, MAHSEAMLES, MOTILALOFS, NATIONALUM, NMDC, PERSISTENT, PGIL, RANEHOLDIN, REDINGTON, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SOLARINDS, SUNFLAG, SUZLON, TAJGVK, TARIL, TIMETECHNO, TVSMOTOR, USHAMART, V2RETAIL",5500
2010,7,56,"ACE, ADANIPOWER, AHLUCONT, AJMERA, AMJLAND, ANANTRAJ, BAJAJHLDNG, BIRLAMONEY, CEMPRO, COFORGE, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GESHIP, GODFRYPHLP, GOLDBEES, HDFCBANK, HINDCOPPER, HINDZINC, INDIANCARD, INDOTECH, INDRAMEDCO, JINDRILL, JKTYRE, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, LUMAXIND, MAHABANK, MAHSEAMLES, MOTILALOFS, NATIONALUM, NMDC, PERSISTENT, PGIL, RANEHOLDIN, REDINGTON, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SOLARINDS, SUNFLAG, SUZLON, TAJGVK, TARIL, TIMETECHNO, TVSMOTOR, USHAMART, V2RETAIL",5500
2010,8,56,"ACE, ADANIPOWER, AHLUCONT, AJMERA, AMJLAND, ANANTRAJ, BAJAJHLDNG, BIRLAMONEY, CEMPRO, COFORGE, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GESHIP, GODFRYPHLP, GOLDBEES, HDFCBANK, HINDCOPPER, HINDZINC, INDIANCARD, INDOTECH, INDRAMEDCO, JINDRILL, JKTYRE, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, LUMAXIND, MAHABANK, MAHSEAMLES, MOTILALOFS, NATIONALUM, NMDC, PERSISTENT, PGIL, RANEHOLDIN, REDINGTON, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SOLARINDS, SUNFLAG, SUZLON, TAJGVK, TARIL, TIMETECHNO, TVSMOTOR, USHAMART, V2RETAIL",5500
2010,9,56,"ACE, ADANIPOWER, AHLUCONT, AJMERA, AMJLAND, ANANTRAJ, BAJAJHLDNG, BIRLAMONEY, CEMPRO, COFORGE, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GESHIP, GODFRYPHLP, GOLDBEES, HDFCBANK, HINDCOPPER, HINDZINC, INDIANCARD, INDOTECH, INDRAMEDCO, JINDRILL, JKTYRE, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, LUMAXIND, MAHABANK, MAHSEAMLES, MOTILALOFS, NATIONALUM, NMDC, PERSISTENT, PGIL, RANEHOLDIN, REDINGTON, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SOLARINDS, SUNFLAG, SUZLON, TAJGVK, TARIL, TIMETECHNO, TVSMOTOR, USHAMART, V2RETAIL",5500
2010,10,19,"AHLUCONT, BIRLAMONEY, FSL, GODFRYPHLP, HINDCOPPER, INDIANCARD, INDOTECH, INDRAMEDCO, JKTYRE, JSWENERGY, NATIONALUM, NMDC, PGIL, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,11,1,GODFRYPHLP,5500
2010,12,1,TAJGVK,5500
2011,1,2,"ANANTRAJ, SKMEGGPROD",6050
2011,2,1,PGIL,6050
