year,month,trades,stocks,total_deployed
2010,2,40,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NMDC, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",11000
2010,3,40,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NMDC, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,5,41,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",11000
2010,6,82,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,7,41,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,8,41,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,9,41,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,10,13,"ADSL, AHLUCONT, FSL, GODFRYPHLP, HINDCOPPER, INDRAMEDCO, JKTYRE, MPSLTD, NATIONALUM, NMDC, PGIL, TIPSMUSIC, WELCORP",5500
2010,11,1,GODFRYPHLP,5500
2010,12,1,AHLUCONT,5500
2011,1,2,"ANANTRAJ, WELCORP",6050
2011,2,1,PGIL,6050
2011,3,1,LTFOODS,6050
2011,4,1,AHLUCONT,6050
2011,5,1,LTFOODS,6050
2011,6,3,"ADSL, ANANTRAJ, FSL",6050
2011,7,1,ANANTRAJ,6050
2011,8,1,RSYSTEMS,6050
2011,9,2,"PERSISTENT, USHAMART",6050
