date,year,month,strategy,action,buy_type,stock,price,amount
2010-02-02,2010,2,Timed HODL,BUY,fallback,CEMPRO,18.51,1650.0
2010-02-02,2010,2,Timed HODL,BUY,fallback,HINDCOPPER,531.41,1650.0
2010-02-02,2010,2,Timed HODL,BUY,fallback,RSYSTEMS,5.16,1650.0
2010-02-02,2010,2,Timed HODL,BUY,fallback,TIMETECHNO,21.06,1650.0
2010-03-04,2010,3,Timed HODL,BUY,fallback,CEMPRO,20.6,672.62
2010-03-04,2010,3,Timed HODL,BUY,fallback,HINDCOPPER,492.44,979.55
2010-03-04,2010,3,Timed HODL,BUY,fallback,RSYSTEMS,5.81,651.0
2010-03-04,2010,3,Timed HODL,BUY,fallback,TIMETECHNO,20.41,909.37
2010-04-06,2010,4,Timed HODL,BUY,fallback,CEMPRO,21.58,744.25
2010-04-06,2010,4,Timed HODL,BUY,fallback,HINDCOPPER,495.1,849.73
2010-04-06,2010,4,Timed HODL,BUY,fallback,RSYSTEMS,6.04,765.95
2010-04-06,2010,4,Timed HODL,BUY,fallback,TIMETECHNO,20.6,839.35
2010-05-06,2010,5,Timed HODL,BUY,fallback,CEMPRO,22.85,651.2
2010-05-06,2010,5,Timed HODL,BUY,fallback,HINDCOPPER,463.24,1067.37
2010-05-06,2010,5,Timed HODL,BUY,fallback,RSYSTEMS,6.03,858.4
2010-05-06,2010,5,Timed HODL,BUY,fallback,TIMETECHNO,21.79,656.19
2010-06-04,2010,6,Timed HODL,BUY,fallback,CEMPRO,21.01,1067.88
2010-06-04,2010,6,Timed HODL,BUY,fallback,HINDCOPPER,436.6,970.96
2010-06-04,2010,6,Timed HODL,BUY,fallback,RSYSTEMS,5.85,850.84
2010-06-04,2010,6,Timed HODL,BUY,fallback,TIMETECHNO,22.09,669.56
2010-07-05,2010,7,Timed HODL,BUY,fallback,CEMPRO,23.5,340.59
2010-07-05,2010,7,Timed HODL,BUY,fallback,HINDCOPPER,444.03,842.43
2010-07-05,2010,7,Timed HODL,BUY,fallback,RSYSTEMS,5.9,887.05
2010-07-05,2010,7,Timed HODL,BUY,fallback,TIMETECHNO,21.94,960.3
2010-08-03,2010,8,Timed HODL,BUY,fallback,CEMPRO,22.06,1115.2
2010-08-03,2010,8,Timed HODL,BUY,fallback,HINDCOPPER,422.81,1035.58
2010-08-03,2010,8,Timed HODL,BUY,fallback,RSYSTEMS,5.65,1004.78
2010-08-03,2010,8,Timed HODL,BUY,fallback,TIMETECHNO,23.52,332.8
2010-09-01,2010,9,Timed HODL,BUY,fallback,CEMPRO,21.98,785.86
2010-09-01,2010,9,Timed HODL,BUY,fallback,HINDCOPPER,427.02,695.85
2010-09-01,2010,9,Timed HODL,BUY,fallback,RSYSTEMS,5.49,940.07
2010-09-01,2010,9,Timed HODL,BUY,fallback,TIMETECHNO,22.51,1047.7
2010-10-01,2010,10,Timed HODL,BUY,fallback,CEMPRO,21.47,1031.39
2010-10-01,2010,10,Timed HODL,BUY,fallback,HINDCOPPER,407.86,1191.83
2010-10-01,2010,10,Timed HODL,BUY,fallback,RSYSTEMS,5.82,420.79
