year,month,trades,stocks,total_deployed
2010,2,45,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, EICHERMOT, ELGIEQUIP, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",11000
2010,3,45,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, EICHERMOT, ELGIEQUIP, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,5,46,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, EICHERMOT, ELGIEQUIP, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",11000
2010,6,92,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, EICHERMOT, ELGIEQUIP, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,7,46,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, EICHERMOT, ELGIEQUIP, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,8,46,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, EICHERMOT, ELGIEQUIP, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,9,46,"ADANIPORTS, ADSL, AHLUCONT, AJANTPHARM, AJMERA, ANANTRAJ, APARINDS, APCOTEXIND, APOLLOHOSP, BAJFINANCE, CEMPRO, CHOLAFIN, COFORGE, ECLERX, EICHERMOT, ELGIEQUIP, FIEMIND, FSL, GESHIP, GODFRYPHLP, HINDCOPPER, HINDZINC, INDRAMEDCO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MPSLTD, NATIONALUM, NEULANDLAB, NMDC, PERSISTENT, PGIL, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, WELCORP",5500
2010,10,9,"AHLUCONT, GODFRYPHLP, HINDCOPPER, JKTYRE, MPSLTD, NATIONALUM, NMDC, TIPSMUSIC, WELCORP",5500
2010,11,1,GODFRYPHLP,5500
2010,12,1,AHLUCONT,5500
