year,month,trades,stocks,total_deployed
2010,2,36,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BAJFINANCE, BIRLAMONEY, CHOLAFIN, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GOLDBEES, HDFCBANK, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, KARURVYSYA, KRBL, MAHABANK, MAHSEAMLES, MOTILALOFS, RANEHOLDIN, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",11000
2010,3,37,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BAJFINANCE, BIRLAMONEY, CHOLAFIN, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GOLDBEES, HDFCBANK, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, MAHABANK, MAHSEAMLES, MOTILALOFS, RANEHOLDIN, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,5,38,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BAJFINANCE, BIRLAMONEY, CHOLAFIN, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GOLDBEES, HDFCBANK, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, MAHABANK, MAHSEAMLES, MOTILALOFS, PERSISTENT, RANEHOLDIN, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",11000
2010,6,38,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BAJFINANCE, BIRLAMONEY, CHOLAFIN, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GOLDBEES, HDFCBANK, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, MAHABANK, MAHSEAMLES, MOTILALOFS, PERSISTENT, RANEHOLDIN, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,7,38,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BAJFINANCE, BIRLAMONEY, CHOLAFIN, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GOLDBEES, HDFCBANK, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, MAHABANK, MAHSEAMLES, MOTILALOFS, PERSISTENT, RANEHOLDIN, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,8,38,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BAJFINANCE, BIRLAMONEY, CHOLAFIN, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GOLDBEES, HDFCBANK, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, MAHABANK, MAHSEAMLES, MOTILALOFS, PERSISTENT, RANEHOLDIN, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,9,38,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BAJFINANCE, BIRLAMONEY, CHOLAFIN, DVL, ECLERX, ELECON, FIEMIND, FSL, GANESHHOU, GENUSPOWER, GEOJITFSL, GOLDBEES, HDFCBANK, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KARURVYSYA, KRBL, MAHABANK, MAHSEAMLES, MOTILALOFS, PERSISTENT, RANEHOLDIN, RKFORGE, RSYSTEMS, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,10,11,"BIRLAMONEY, FSL, INDIANCARD, INDOTECH, JSWENERGY, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,11,2,"SKMEGGPROD, V2RETAIL",5500
2010,12,1,TAJGVK,5500
2011,1,1,SKMEGGPROD,6050
2011,2,1,V2RETAIL,6050
2011,3,3,"GENUSPOWER, INDIANCARD, SUZLON",6050
2011,4,1,SUZLON,6050
2011,5,1,ADANIPOWER,6050
2011,6,2,"JSWENERGY, SKMEGGPROD",6050
2011,7,2,"ELECON, MOTILALOFS",6050
2011,8,1,RSYSTEMS,6050
